"lagoslakeid","site_id","site_legacyid","site_legacyname","site_lat_decdeg","site_lon_decdeg"
359240,"359240-AA","s25_lk_42.54705507_-107.1498507","Beulah Belle Lake",42.547055,-107.149851
327180,"327180-AA","s25_lk_42.73351246_-109.0932442","Deep Creek Lakes",42.733993,-109.09527
450587,"450587-AA","s25_lk_42.80153184_-109.4608964","Star Lake",42.801532,-109.460896
451522,"451522-AA","s25_lk_43.16510906_-109.8031724","Hidden Lakes",43.165109,-109.803173
468120,"468120-AA","s25_lk_43.76442253_-122.0086406","Unnamed",43.76434,-122.009736
466787,"466787-AA","s25_lk_43.81091778_-121.9093017","Jay Lake",43.811104,-121.90989
469599,"469599-AB","s25_lk_43.85416637_-124.1467548","Carter Lake",43.852748,-124.146867
463944,"463944-AA","s25_lk_43.89903221_-110.6733784","Jackson Lake",43.900516,-110.673884
465916,"465916-AA","s25_lk_43.97945187_-114.8776554","Pettit Lake",43.979589,-114.878795
466417,"466417-AA","s25_lk_43.99802567_-114.8891906","McDonald Lake",43.998461,-114.889375
471910,"471910-AA","s3_lk_47.042883_-121.813992","LILY LAKE",47.042092,-121.815112
467276,"467276-AC","s25_lk_44.011243_-121.742747","Sparks Lake",44.012882,-121.743379
465253,"465253-AA","s25_lk_44.10981036_-114.9661056","Bench Lake",44.109703,-114.965986
463264,"463264-AA","s25_lk_44.21474968_-111.6155136","Blue Creek Reservoir Number 1",44.214623,-111.615695
465065,"465065-AA","s25_lk_44.32909632_-116.1841073","Sage Hen Reservoir",44.329097,-116.184107
464743,"464743-AA","s25_lk_44.36264218_-117.6939324","Malheur Reservoir",44.362901,-117.694243
466696,"466696-AA","s25_lk_44.39992585_-121.8013897","Link Lake",44.399893,-121.801541
325573,"325573-AA","s25_lk_44.49478161_-110.4302646","NO NAME",44.494747,-110.430409
467096,"467096-AA","s25_lk_44.77856094_-121.7858008","Horseshoe Lake",44.778472,-121.78588
325988,"325988-AA","s25_lk_44.78132376_-109.2547289","Luce Reservoir",44.779799,-109.256777
469265,"469265-AB","s25_lk_44.83363547_-121.8137759","Fish Lake",44.833635,-121.813776
464183,"464183-AA","s25_lk_44.97021316_-116.001262","Blackwell Lake",44.970308,-116.001154
468093,"468093-AB","s25_lk_45.03695777_-122.265382","Cougar Lake",45.036851,-122.265313
464465,"464465-AA","s25_lk_45.12898626_-116.0220887","Upper Payette Lake",45.127672,-116.022398
465198,"465198-AA","s25_lk_45.26811761_-116.2079681","Upper Twin Lake",45.268118,-116.207968
468856,"468856-AA","s25_lk_45.56535236_-122.5630011","Johnson Lake",45.56522,-122.562802
317483,"317483-AA","s25_lk_45.57835886_-113.0032413","Crescent Lake",45.57863,-113.003267
325238,"325238-AA","s25_lk_46.04062349_-110.6921749","Cottonwood Reservoir",46.038997,-110.6921
457983,"457983-AA","s25_lk_46.11821631_-113.37464","East Fork Reservoir",46.118217,-113.37464
467772,"467772-AA","s25_lk_46.15548587_-121.701039","Little Fish Lake",46.155471,-121.701534
465779,"465779-AA","s25_lk_46.20607125_-116.8343671","Lake Waha",46.206924,-116.836074
321089,"321089-AA","s25_lk_46.31276308_-110.0325058","Lebo Lake",46.312227,-110.032212
467711,"467711-AA","s25_lk_46.42220235_-121.5971666","Wobbly Lake",46.422202,-121.597166
462794,"462794-AA","s25_lk_46.62199741_-120.5560269","Lake Myron",46.621998,-120.556027
465513,"465513-AA","s25_lk_46.63155999_-114.3843753","Lily Lake",46.63175,-114.384277
465186,"465186-AA","s25_lk_46.68823022_-116.649551","Atwater Lake",46.68823,-116.649551
470556,"470556-AA","s25_lk_46.83110249_-122.4473471","Bass Lake",46.831061,-122.447189
471109,"471109-AA","s3_lk_47.4401013_-122.0267838","MCDONALD LK.",47.441925,-122.026202
460408,"460408-AA","s25_lk_47.05943881_-113.9378325","Sanders Lake",47.059439,-113.937832
466002,"466002-AA","s25_lk_47.07386493_-115.9576667","Lost Lake",47.073627,-115.957553
460763,"460763-AA","s25_lk_47.13311657_-119.9153732","BURKE LAKE",47.133421,-119.917227
469732,"469732-AA","s25_lk_47.13372828_-124.0473316","Damon Lake",47.135074,-124.048021
471536,"471536-AA","s25_lk_47.24381556_-122.757955","Bay Lake",47.244238,-122.757808
471389,"471389-AA","s25_lk_47.35148384_-121.9912542","Ravensdale Lake",47.350853,-121.992457
470727,"470727-AA","s25_lk_47.47102321_-123.1739311","Price Lake",47.471084,-123.171478
457685,"457685-AA","s25_lk_47.51563208_-115.7316178","Lower Glidden Lake",47.516558,-115.73084
460663,"460663-AA","s25_lk_47.58873889_-119.3227985","DEEP LAKE",47.589668,-119.320767
471370,"471370-AA","s25_lk_47.59338259_-122.1245929","Phantom Lake",47.593382,-122.124592
320134,"320134-AA","s25_lk_47.76171554_-108.4328294","Sentinel Reservoir",47.761686,-108.432678
322383,"322383-AA","s25_lk_47.87668819_-107.1252315","Halfpint Reservoir",47.876688,-107.125231
458009,"458009-AA","s25_lk_48.00714106_-117.003822","Lake San Souci",48.006888,-117.003284
458019,"458019-AA","s25_lk_48.01025724_-116.7078838","Kelso Lake",48.009629,-116.70833
319756,"319756-AA","s25_lk_48.02656863_-109.6237599","Unnamed",48.026569,-109.62376
462149,"462149-AA","s25_lk_48.03662397_-118.8932554","McGinnis Lake",48.036624,-118.893255
323994,"323994-AA","s25_lk_48.05490061_-106.4419746","Fort Peck Trout Pond",48.055082,-106.441753
460594,"460594-AA","s25_lk_48.23081534_-119.7765868","Starzman Lake",48.230815,-119.776587
462390,"462390-AA","s25_lk_48.29227506_-118.32282","Round Lake",48.292168,-118.322695
461288,"461288-AA","s25_lk_48.39574918_-120.1848543","Unnamed",48.395749,-120.184855
458357,"458357-AA","s25_lk_48.40619468_-117.180602","North Skookum Lake",48.406117,-117.179877
318031,"318031-AA","s25_lk_48.62106688_-113.1088007","Hidden Lake",48.621067,-113.108801
459220,"459220-AA","s25_lk_48.6294753_-114.3920285","Moose Lake",48.629746,-114.392608
322841,"322841-AA","s25_lk_48.83419438_-108.0100019","Horseshoe Lake",48.835546,-108.010616
462169,"462169-AA","s25_lk_48.95919311_-118.1271161","Summit Lake",48.959193,-118.127116
324386,"324386-AA","s25_lk_48.98589819_-104.3737458","Johnson Lake",48.985899,-104.373746
454647,"454647-AA","s3_lk_32.18_-111.00861","SCKEN-AB",32.180145,-111.008102
454647,"454647-AA","s3_lk_32.18_-111.0088883","SCKEN-B",32.180145,-111.008102
454597,"454597-AA","s3_lk_32.18624_-110.8167266",NA,32.186196,-110.81744
454597,"454597-AA","s3_lk_32.1872216_-110.8133333","SCLAK-AB",32.186196,-110.81744
454468,"454468-AA","s3_lk_32.3872216_-110.710555","SCROS-A",32.387327,-110.71107
454603,"454603-AA","s3_lk_32.7075_-109.965","SPRIG-A",32.707731,-109.965111
454354,"454354-AA","s3_lk_32.7197216_-109.7063883",NA,32.71956,-109.706284
454354,"454354-AA","s3_lk_32.720215_-109.70433",NA,32.720254,-109.704908
454354,"454354-AA","s3_lk_32.7207766_-109.7054716","UGDAN-POND",32.720254,-109.704908
454327,"454327-AA","s3_lk_32.7527766_-109.7033333","UGROP-POND",32.756032,-109.703864
454327,"454327-AA","s3_lk_32.755_-109.7012216","UGROP-BR",32.756032,-109.703864
454327,"454327-AA","s3_lk_32.7563883_-109.705555","UGROP-B",32.756032,-109.703864
454327,"454327-AA","s3_lk_32.756675_-109.7037883","UGROP-A",32.756032,-109.703864
454301,"454301-AA","s3_lk_32.8069433_-109.8618883","UGCRC-A",32.805416,-109.862483
454275,"454275-AA","s3_lk_32.9819433_-114.475","CLMAZ-A",32.981649,-114.476666
454950,"454950-AA","s3_lk_33.0819233_-113.0213916","CLPRL-B",33.083595,-113.023206
454706,"454706-AA","s3_lk_33.3741666_-111.93861","MGKIW-B",33.374159,-111.939633
454735,"454735-AA","s3_lk_33.4502766_-111.95111","MGPAP-AB",33.450313,-111.950872
454710,"454710-AB","s3_lk_33.5113883_-111.9069433","MGCHA-A",33.511886,-111.907621
454710,"454710-AB","s3_lk_33.5133333_-111.9075","MGCHA-B",33.511886,-111.907621
455004,"455004-AA","s3_lk_33.8502766_-112.2641666","MGPLE-A",33.844967,-112.267307
454698,"454698-AA","s3_lk_33.9097216_-109.42","SRCRE-B",33.908145,-109.420248
453838,"453838-AA","s3_lk_33.9419433_-109.4988883","LCLEE-A",33.941499,-109.50124
453948,"453948-AA","s3_lk_34.1159433_-109.5265833","LCCAR-A",34.115672,-109.528439
453820,"453820-AB","s3_lk_34.3291666_-110.7","LCBLC-A",34.329766,-110.700882
454834,"454834-AA","s3_lk_34.6172933_-112.5489066","VRGBL-A",34.617284,-112.550033
454834,"454834-AA","s3_lk_34.6172933_-112.5490183","VRGBL-B",34.617284,-112.550033
454839,"454839-AA","s3_lk_34.7802766_-112.0277766","VRPEC-OUT",34.781393,-112.039419
454839,"454839-AA","s3_lk_34.7808333_-112.0325","VRPEC-AA",34.781393,-112.039419
454839,"454839-AA","s3_lk_34.78111_-112.0458333","VRPEC-IN",34.781393,-112.039419
454839,"454839-AA","s3_lk_34.7825_-112.03861","VRPEC-A",34.781393,-112.039419
454839,"454839-AA","s3_lk_34.7841666_-112.0447216","VRPEC-F",34.781393,-112.039419
453902,"453902-AA","s3_lk_34.7966666_-111.2325","LCSOI-A",34.796859,-111.233543
453943,"453943-AA","s3_lk_34.9272216_-110.2758333","LCCHO-B",34.925757,-110.27569
453943,"453943-AA","s3_lk_34.9338883_-110.2847216","LCCHO-IN",34.925757,-110.27569
454703,"454703-AA","s3_lk_35.1113883_-112.0694433","VRPER-A",35.111694,-112.069714
454841,"454841-AA","s3_lk_35.1159083_-112.010285","VRWHH-B",35.116706,-112.013423
454841,"454841-AA","s3_lk_35.1175_-112.0125","VRWHH-A",35.116706,-112.013423
453711,"453711-AA","s3_lk_35.2516666_-112.2147216","CGCAT-A",35.250915,-112.217227
477682,"477682-AA","s3_lk_36.4193611_-118.6128333","MOSQUITO LAKE 4",36.419189,-118.614389
477672,"477672-AA","s3_lk_36.5969444_-118.675","EMERALD LAKE",36.59719,-118.675967
453020,"453020-AI","s3_lk_37.064715_-111.290706","LAKE POWELL AT XING OF THE FATHERS",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.139719_-110.954038","LAKE POWELL 1 MI N OF OAK CANYON NR RAINBOW BRIDGE",37.275861,-110.957088
453777,"453777-AA","s3_lk_37.146648_-112.98494","SOUTH CREEK RESERVOIR 001",36.996209,-112.963119
453020,"453020-AI","s3_lk_37.168325_-110.81792","LAKE POWELL OFF CHA CANYON IN SAN JUAN ARM",37.275861,-110.957088
453774,"453774-AB","s3_lk_37.179145_-113.714125","IVINS RES AB DAM 01",37.181383,-113.714912
447022,"447022-AD","s3_lk_37.2444508_-106.3405883","LA JARA RESERVOIR",37.267644,-106.353295
447022,"447022-AD","s3_lk_37.2541667_-106.3402778","TERRACE RESERVOIR QUADRANGLE",37.267644,-106.353295
447022,"447022-AD","s3_lk_37.2666667_-106.3508333","TERRACE RESERVOIR QUADRANGLE",37.267644,-106.353295
453020,"453020-AI","s3_lk_37.297771_-110.876811","LAKE POWELL ESCALANTE ARM 1 MI AB MOUTH",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.309988_-110.938204","LAKE POWELL DAVIS GULCH 50 M DOWNSTREAM OF ARCH",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.321379_-110.918759","LAKE POWELL OFF DAVIS GULCH",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.339995_-110.712368","LAKE POWELL SLICK ROCK CANYON 100 M FROM END OF WATER",37.275861,-110.957088
447082,"447082-AC","s3_lk_37.34_-106.5658333","PLATORO RESERVOIR QUADRANGLE",37.339647,-106.563867
453020,"453020-AI","s3_lk_37.343884_-110.733477","LAKE POWELL SLICK ROCK CANYON 1/4 MI AB MOUTH",37.275861,-110.957088
447083,"447083-AF","s3_lk_37.3472222_-106.2847222","TERRACE RESERVOIR QUADRANGLE",37.363518,-106.295072
447082,"447082-AC","s3_lk_37.3488889_-106.545","PLATORO RESERVOIR QUADRANGLE",37.339647,-106.563867
447082,"447082-AC","s3_lk_37.3519504_-106.5444812","PLATORO RESERVOIR AT PLATORO, CO.",37.339647,-106.563867
447083,"447083-AF","s3_lk_37.3577834_-106.2858659","TERRACE RESERVOIR",37.363518,-106.295072
447083,"447083-AF","s3_lk_37.365_-106.3002778","TERRACE RESERVOIR QUADRANGLE",37.363518,-106.295072
453758,"453758-AB","s3_lk_37.377481_-113.640243","BAKER DAM RES AB DAM 01",37.378788,-113.637829
453758,"453758-AB","s3_lk_37.379424_-113.636348","BAKER DAM RES MIDLAKE 02",37.378788,-113.637829
453321,"453321-AC","s3_lk_37.3827798_-107.6628383","LEMON RESERVOIR",37.403773,-107.66458
447263,"447263-AC","s3_lk_37.3861111_-105.5402778","BLANCA QUADRANGLE",37.39289,-105.530346
447263,"447263-AC","s3_lk_37.3916667_-105.5305556","BLANCA QUADRANGLE",37.39289,-105.530346
453020,"453020-AI","s3_lk_37.432771_-110.978908","LAKE POWELL ESCALANTE ARM 100 M FROM END OF WATER",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.464713_-110.570698","LAKE POWELL MOKI CANYON 100 M FROM END OF WATER",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.466107_-110.579861","LAKE POWELL MOKI CANYON MAJOR CAMPING AREA",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.470544_-110.593475","LAKE POWELL MOKI CANYON CNFL OF NORTH AND MAIN FORK",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.471936_-110.726531","LAKE POWELL HALLS XING/ BULLFROG MILE 95",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.482772_-110.63959","LAKE POWELL MOKI CANYON 1/4 MI AB MOUTH",37.275861,-110.957088
481309,"481309-AA","s3_lk_37.4926667_-122.3311667","UPPER CRYSTAL SPRINGS RESERVOIR",37.491767,-122.332033
453020,"453020-AI","s3_lk_37.513606_-110.734028","LAKE POWELL BULLFROG BOAT RAMP 50 M OFF SHORE",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.52416_-110.734036","LAKE POWELL BULLFROG MARINA BOAT RENTAL 50 M FROM SHOR",37.275861,-110.957088
481078,"481078-AA","s3_lk_37.5285_-122.3618333","LOWER CRYSTAL SPRINGS RESERVOIR",37.529058,-122.369239
453020,"453020-AI","s3_lk_37.539992_-110.658196","LAKE POWELL HANSEN CK 1/4 MI AB MOUTH",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.545272_-110.592367","LAKE POWELL FORGOTTEN CANYON 100 M FROM END OF WATER",37.275861,-110.957088
453441,"453441-AB","s3_lk_37.5455544_-107.8058992","ELECTRA LAKE",37.567533,-107.805972
481103,"481103-AA","s3_lk_37.5491667_-122.4232778","PILARCITOS RESERVOIR",37.553081,-122.428711
453020,"453020-AI","s3_lk_37.555272_-110.62347","LAKE POWELL FORGOTTEN CANYON 1/4 MI AB MOUTH",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.576935_-110.77292","LAKE POWELL BULLFRG BAY UPPER (MAJOR RV AREA) MIDCHANNEL",37.275861,-110.957088
453020,"453020-AI","s3_lk_37.584988_-110.691256","LAKE POWELL HANSEN CK 100 M FROM END OF WATER",37.275861,-110.957088
480588,"480588-AA","s3_lk_37.5981389_-122.4270556","SAN ANDREAS RESERVOIR",37.595885,-122.426421
480588,"480588-AA","s3_lk_37.6018611_-122.4304722","SAN ANDREAS RESERVOIR",37.595885,-122.426421
453558,"453558-AA","s3_lk_37.6199994_-107.5842263","UPPER GRIZZLY LAKE",37.620405,-107.586126
376140,"376140-AB","s3_lk_37.6366786_-102.5385259","TWO BUTTES RESERVOIR DUP1",37.633353,-102.562807
453195,"453195-AA","s3_lk_37.664273_-109.498458","BLANDING CITY RES NO. 4 AB DAM 001",37.664929,-109.498327
453196,"453196-AA","s3_lk_37.669995_-109.488456","BLANDING CITY RES NO. 3 01",37.670617,-109.488777
453422,"453422-AA","s3_lk_37.7088874_-107.5531149","WHITE DOME LAKE",37.708303,-107.552699
453626,"453626-AB","s3_lk_37.7133319_-107.5464481","LITTLE ELDORADO LAKE",37.713046,-107.54766
478969,"478969-AA","s3_lk_37.715763_-119.3718174","WASHBURN LK AB LEWIS C NR YOSEMITE CA",37.714968,-119.372148
453020,"453020-AI","s3_lk_37.721652_-110.471249","LAKE POWELL GOODHOPE BAY MIDCHANNEL",37.275861,-110.957088
481099,"481099-AA","s3_lk_37.7877778_-122.46975","SOUTH SHORE OF MOUNTAIN LAKE",37.787881,-122.4708
481099,"481099-AA","s3_lk_37.7879722_-122.4688889","EAST FINGER OF MOUNTAIN LAKE",37.787881,-122.4708
481099,"481099-AA","s3_lk_37.7879722_-122.4690556","EAST PART OF MOUNTAIN LAKE",37.787881,-122.4708
481099,"481099-AA","s3_lk_37.7881111_-122.4698611","CENTER OF MOUNTAIN LAKE",37.787881,-122.4708
481099,"481099-AA","s3_lk_37.7881111_-122.4701111","CENTER OF MOUNTAIN LAKE",37.787881,-122.4708
478975,"478975-AA","s3_lk_37.7965941_-119.3426531","FLETCHER LK (UPPER) CA",37.796296,-119.341121
376210,"376210-AN","s3_lk_38.208061_-103.673835","LAKE MEREDITH M1B",38.19088,-103.703425
478956,"478956-AA","s3_lk_37.8457568_-119.4923847","MAY LK CA",37.847012,-119.493077
453020,"453020-AI","s3_lk_37.854155_-110.401805","LAKE POWELL HITE MIDCHANNEL",37.275861,-110.957088
456503,"456503-AB","s3_lk_37.866088_-112.681608","RED CK RES 01 (IRON CO.)",37.86289,-112.678853
447389,"447389-AA","s3_lk_37.8866651_-107.2061641","CONTINENTAL RESERVOIR",37.881208,-107.212877
453020,"453020-AI","s3_lk_37.890548_-110.370417","LAKE POWELL AT COLORADO R BAY AT U95 XING",37.275861,-110.957088
453326,"453326-AA","s3_lk_37.894993_-109.467762","MONTICELLO LAKE 01",37.894762,-109.468233
453020,"453020-AI","s3_lk_37.915821_-110.38597","LAKE POWELL AT DIRTY DEVIL R BAY AT U95 XING",37.275861,-110.957088
453099,"453099-AA","s3_lk_37.92193_-111.827684","BARKER RES LOWER AB DAM 01",37.921525,-111.827931
453024,"453024-AA","s3_lk_37.936651_-111.694909","POSEY L AB OUTLET 01",37.937089,-111.696183
450081,"450081-AC","s3_lk_37.9838863_-107.2922773","LAKE SAN CRISTOBAL",37.96911,-107.292009
376470,"376470-AN","s3_lk_38.0663963_-102.9374229","JOHN MARTIN RESERVOIR SITE JMR0.1",38.073485,-103.0488
376470,"376470-AN","s3_lk_38.0697294_-103.0015909","JOHN MARTIN RESERVOIR SITE JMR3.6",38.073485,-103.0488
453034,"453034-AA","s3_lk_38.076098_-111.484341","CRESCENT LAKE 01",38.076328,-111.484444
453002,"453002-AA","s3_lk_38.079155_-111.584904","ROW L  7 01",38.079251,-111.585002
453104,"453104-AA","s3_lk_38.081099_-111.585456","ROW L  8 01",38.081126,-111.585551
453127,"453127-AA","s3_lk_38.083869_-111.570175","BLUE L 01 (GARFIELD CO.)",38.084176,-111.570028
376470,"376470-AN","s3_lk_38.0844513_-103.09326","JOHN MARTIN RESERVOIR SITE JMR8.6",38.073485,-103.0488
453076,"453076-AA","s3_lk_38.087209_-111.466842","HORSESHOE LAKE 01",38.088306,-111.467174
453056,"453056-AA","s3_lk_38.107763_-111.425179","BIG L 01",38.107511,-111.425297
453097,"453097-AA","s3_lk_38.108592_-111.269894","LOWER BOWNS RESERVOIR",38.107937,-111.27014
453112,"453112-AA","s3_lk_38.135537_-111.454894","BESS L 01",38.135297,-111.454487
453108,"453108-AA","s3_lk_38.148038_-111.539906","CHUCK L 01",38.148125,-111.539936
453128,"453128-AA","s3_lk_38.157202_-111.547963","MILLERS L 01",38.157364,-111.548052
376210,"376210-AN","s3_lk_38.1572285_-103.7407828","LAKE MEREDITH RESERVOIR",38.19088,-103.703425
456549,"456549-AF","s3_lk_38.169985_-112.016869","OTTER CK RES AB DAM 01",38.203494,-111.989463
456549,"456549-AF","s3_lk_38.170264_-112.009646","OTTER CREEK RES 04 NR SOUTH INLET",38.203494,-111.989463
376210,"376210-AN","s3_lk_38.1716727_-103.729671","LAKE MEREDITH M4B",38.19088,-103.703425
453054,"453054-AA","s3_lk_38.176923_-111.442958","BLIND LAKE 01",38.177171,-111.44269
453109,"453109-AA","s3_lk_38.178041_-111.539899","COOK L 01",38.176774,-111.540032
456549,"456549-AF","s3_lk_38.188599_-111.999645","OTTER CK RES 03 1/3 WAY UP LAKE",38.203494,-111.989463
376210,"376210-AN","s3_lk_38.1944501_-103.6924471","LAKE MEREDITH M2B",38.19088,-103.703425
456549,"456549-AF","s3_lk_38.20221_-111.987691","OTTER CK RES MIDWAY UP LAKE 02",38.203494,-111.989463
453050,"453050-AA","s3_lk_38.202761_-111.492957","DONKEY RES 75M OFF W SHORE 01",38.203202,-111.491456
456663,"456663-AA","s3_lk_38.210249_-112.434101","ANDERSON MEADOW RES AB DAM 01",38.209647,-112.433617
456586,"456586-AD","s3_lk_38.217466_-112.833553","MINERSVILLE RES AB DAM 01",38.236031,-112.816331
456549,"456549-AF","s3_lk_38.223313_-111.975193","OTTER CK RES 05 NEAR UPPER END",38.203494,-111.989463
456507,"456507-AA","s3_lk_38.226919_-112.399927","LABARON RES 01",38.225394,-112.399775
456586,"456586-AD","s3_lk_38.234139_-112.816057","MINERSVILLE RES MIDWAY UP LAKE 02",38.236031,-112.816331
456604,"456604-AA","s3_lk_38.235807_-112.46327","KENTS LAKE 01",38.235087,-112.463009
376564,"376564-AI","s3_lk_38.2433333_-103.6994444","LAKE HENRY",38.26428,-103.709151
456586,"456586-AD","s3_lk_38.249967_-112.803001","MINERSVILLE RES NORTH END 03A",38.236031,-112.816331
376564,"376564-AI","s3_lk_38.2573333_-103.71","LAKE HENRY 2",38.26428,-103.709151
376564,"376564-AI","s3_lk_38.2619489_-103.7096694","LAKE HENRY HEW2",38.26428,-103.709151
376138,"376138-AC","s3_lk_38.2683333_-103.2383333",NA,38.261916,-103.246445
456505,"456505-AA","s3_lk_38.296643_-112.420214","THREE CREEKS RESERVOIR AB DAM 01",38.296338,-112.418602
472186,"472186-AA","s3_lk_47.603991_-121.7562235","BRIDGES LAKE",47.606132,-121.757188
376471,"376471-AC","s3_lk_38.321397_-102.6568605","NEENOSHE RESERVOIR DUP1",38.337721,-102.68979
453697,"453697-AA","s3_lk_38.3292389_-115.1644974","Hay Meadows Reservoir",38.329118,-115.164343
453008,"453008-AA","s3_lk_38.433178_-111.464501","DEEP CREEK LAKE 01",38.433628,-111.464643
376620,"376620-AC","s3_lk_38.4447224_-104.8235899","TELLER RESERVOIR",38.445365,-104.822534
450451,"450451-AA","s3_lk_38.456656_-109.196781","DARK CANYON LAKE",38.456395,-109.196659
456535,"456535-AA","s3_lk_38.480539_-111.984358","LOWER BOX CK RES 01",38.480785,-111.986189
456671,"456671-AA","s3_lk_38.484425_-112.08714","BARNEY LAKE 01",38.485187,-112.088687
456639,"456639-AB","s3_lk_38.486175_-112.072307","MANNING MEADOW RESERVOIR 001",38.489073,-112.071411
453019,"453019-AC","s3_lk_38.495815_-111.568236","MILL MEADOW RES AB DAM 01",38.506483,-111.565566
450345,"450345-AA","s3_lk_38.5011_-109.274005","OOWAH L 01",38.500811,-109.273365
453019,"453019-AC","s3_lk_38.510258_-111.565184","MILL MEADOW RES MIDLAKE 02",38.506483,-111.565566
474801,"474801-AF","s3_lk_38.5126856_-122.2091412","LK BERRYESSA A SPANISH FLAT ARM CA",38.589006,-122.229442
474801,"474801-AF","s3_lk_38.5132406_-122.1055276","LK BERRYESSA A DAM CA",38.589006,-122.229442
474801,"474801-AF","s3_lk_38.5135187_-122.1644179","LK BERRYESSA A WRAGG CYN ARM CA",38.589006,-122.229442
453055,"453055-AA","s3_lk_38.538313_-111.45073","MEEKS POND",38.538115,-111.450588
453009,"453009-AA","s3_lk_38.547196_-111.437405","MORRELL POND 01",38.54704,-111.436862
474801,"474801-AF","s3_lk_38.5587957_-122.2077525","LK BERRYESSA A LK CENTER CA",38.589006,-122.229442
474801,"474801-AF","s3_lk_38.6307389_-122.274421","LK BERRYESSA A PUTAH C ARM CA",38.589006,-122.229442
376423,"376423-AA","s3_lk_38.6624962_-104.7794184","HAYMES RESERVOIR",38.662775,-104.780195
376002,"376002-AA","s3_lk_38.6677744_-104.7602514","NORTHSIDE RESERVOIR",38.668135,-104.760352
376422,"376422-AA","s3_lk_38.6811062_-104.8041405","TOWNSEND RESERVOIR",38.681494,-104.804557
376619,"376619-AA","s3_lk_38.6852719_-104.8333074","LARGE BIRD FARM RES",38.685107,-104.834031
450194,"450194-AB","s3_lk_38.6949877_-107.6128355","CRAWFORD RESERVOIR",38.682925,-107.601264
475870,"475870-AF","s3_lk_38.7079582_-121.157169","FOLSOM LK NR FOLSOM CA",38.745339,-121.11956
450248,"450248-AB","s3_lk_38.7124842_-108.0328457","GARNET MESA RESERVOIR, MIDLAKE, NEAR DELTA, COLO",38.712537,-108.032771
450248,"450248-AB","s3_lk_38.7138731_-108.0400682","GARNET MESA RESERVOIR AT DAM, NEAR DELTA, COLO",38.712537,-108.032771
456542,"456542-AA","s3_lk_38.788021_-111.775474","REXS RES 01",38.787925,-111.774368
450041,"450041-AB","s3_lk_38.8180492_-106.6047531","TAYLOR PARK RESERVOIR AT TAYLOR PARK, CO.",38.835393,-106.580265
456969,"456969-AA","s3_lk_38.8346389_-120.0493056","LOWER ECHO LAKE EAST SAMPLING POINT",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8396297_-120.057962","LOWER ECHO LAKE SAMPLE SITE NR CENTER",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8403611_-120.0663333","LOWER ECHO LAKE SOUTHEWEST SAMPLING POINT",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8404631_-120.0685179","ECHO LAKES CHANNEL BTW UPPER AND LOWER LAKES",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8414444_-120.072361","UPPER ECHO LAKE EAST SAMPLING POINT",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8429631_-120.0740736","UPPER ECHO LAKE SAMPLE SITE NR CENTER",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8432778_-120.0633889","LOWER ECHO LAKE NORTHWEST SAMPLING POINT",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8437778_-120.0782778","UPPER ECHO LAKE SOUTHWEST SAMPLING POINT",38.840331,-120.062303
456969,"456969-AA","s3_lk_38.8451667_-120.0799444","UPPER ECHO LAKE NR INLET SAMPLING POINT",38.840331,-120.062303
457414,"457414-AA","s3_lk_38.8765743_-120.0810182","LILY LK CA",38.87568,-120.081634
457055,"457055-AA","s3_lk_38.8943521_-120.1376869","ALTA MORRIS LK - SITE A",38.893641,-120.138823
457345,"457345-AA","s3_lk_38.8954633_-120.1360201","HALF MOON LK CA",38.896411,-120.13676
361055,"361055-AC","s3_lk_38.90527_-105.4755522","ELEVENMILE CANYON RE NEAR LAKE GEORGE, CO.",38.930112,-105.518886
450145,"450145-AA","s3_lk_38.9674825_-108.2853602","JUNIATA RESERVOIR",38.966161,-108.280892
450144,"450144-AA","s3_lk_38.9694269_-108.2939717","PURDY MESA RESERVOIR",38.969129,-108.290947
360006,"360006-AB","s3_lk_38.993605_-105.8955668","ANTERO RESERVOIR",38.987285,-105.916087
456613,"456613-AB","s3_lk_38.997466_-111.869652","REDMOND LAKE AB DAM 01",38.994772,-111.87083
449247,"449247-AA","s3_lk_39.0755355_-107.9684014","COTTONWOOD LAKE NO. 1",39.073623,-107.971554
452373,"452373-AD","s3_lk_39.099138_-111.194054","MILLSITE RES AB DAM 01",39.099499,-111.19685
